plane,old_ip,new_ip
mgmt,192.168.0.1,10.51.13.22
mgmt,192.168.0.10,10.51.13.13
mgmt,192.168.0.100,10.51.11.44
mgmt,192.168.0.101,10.51.11.49
mgmt,192.168.0.102,10.51.11.54
mgmt,192.168.0.103,10.51.11.59
mgmt,192.168.0.104,10.51.11.64
mgmt,192.168.0.105,10.51.11.69
mgmt,192.168.0.106,10.51.11.74
mgmt,192.168.0.107,10.51.11.79
mgmt,192.168.0.108,10.51.11.84
mgmt,192.168.0.109,10.51.11.89
mgmt,192.168.0.11,10.51.13.19
mgmt,192.168.0.110,10.51.11.94
mgmt,192.168.0.111,10.51.11.99
mgmt,192.168.0.112,10.51.11.104
mgmt,192.168.0.113,10.51.11.109
mgmt,192.168.0.114,10.51.12.25
mgmt,192.168.0.115,10.51.12.30
mgmt,192.168.0.116,10.51.12.35
mgmt,192.168.0.117,10.51.12.40
mgmt,192.168.0.118,10.51.12.45
mgmt,192.168.0.119,10.51.12.50
mgmt,192.168.0.12,10.51.13.20
mgmt,192.168.0.120,10.51.12.55
mgmt,192.168.0.121,10.51.12.60
mgmt,192.168.0.122,10.51.12.65
mgmt,192.168.0.123,10.51.12.70
mgmt,192.168.0.124,10.51.12.75
mgmt,192.168.0.125,10.51.12.80
mgmt,192.168.0.126,10.51.12.85
mgmt,192.168.0.127,10.51.12.90
mgmt,192.168.0.128,10.51.12.95
mgmt,192.168.0.129,10.51.12.100
mgmt,192.168.0.13,10.51.13.10
mgmt,192.168.0.130,10.51.12.105
mgmt,192.168.0.131,10.51.12.26
mgmt,192.168.0.132,10.51.12.31
mgmt,192.168.0.133,10.51.12.36
mgmt,192.168.0.134,10.51.12.41
mgmt,192.168.0.135,10.51.12.46
mgmt,192.168.0.136,10.51.12.51
mgmt,192.168.0.137,10.51.12.56
mgmt,192.168.0.138,10.51.12.61
mgmt,192.168.0.139,10.51.12.66
mgmt,192.168.0.14,10.51.13.11
mgmt,192.168.0.140,10.51.12.71
mgmt,192.168.0.141,10.51.12.76
mgmt,192.168.0.142,10.51.12.81
mgmt,192.168.0.143,10.51.12.86
mgmt,192.168.0.144,10.51.12.91
mgmt,192.168.0.145,10.51.12.96
mgmt,192.168.0.146,10.51.12.101
mgmt,192.168.0.147,10.51.12.106
mgmt,192.168.0.148,10.51.12.27
mgmt,192.168.0.149,10.51.12.32
mgmt,192.168.0.15,10.51.11.21
mgmt,192.168.0.150,10.51.12.37
mgmt,192.168.0.151,10.51.12.42
mgmt,192.168.0.152,10.51.12.47
mgmt,192.168.0.153,10.51.12.52
mgmt,192.168.0.154,10.51.12.57
mgmt,192.168.0.155,10.51.12.62
mgmt,192.168.0.156,10.51.12.67
mgmt,192.168.0.157,10.51.12.72
mgmt,192.168.0.158,10.51.12.77
mgmt,192.168.0.159,10.51.12.82
mgmt,192.168.0.16,10.51.11.23
mgmt,192.168.0.160,10.51.12.87
mgmt,192.168.0.161,10.51.12.92
mgmt,192.168.0.162,10.51.12.97
mgmt,192.168.0.163,10.51.12.102
